Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CS,6374.0,001,,14.0,3.0,3.0,,2.0,,,,,,,,,,,,1,"Gupta, Gopal","Haghpanah, Mohammadreza",,,,
CS,6375.0,001,,61.0,20.0,,,,,,,,,,,,,,,0,"Chida, Anjum","Li, Changbin",,,,
CS,6375.0,002,,48.0,18.0,10.0,2.0,,,,,,,,,,,,,1,"Nagar, Anurag","Kobayashi, Hideo",,,,
CS,6375.0,003,,39.0,30.0,1.0,,,,,,,,,,,,,,0,"Chida, Anjum","Ocampo Diaz, Gerardo","Li, Changbin",,,
CS,6375.0,004,,11.0,9.0,14.0,6.0,3.0,,2.0,,,,,4.0,,,,,10,"Ruozzi, Nicholas R","Lu, Yangxiao",,,,
CS,6375.0,502,,48.0,17.0,5.0,2.0,,,,,,,,,,,,,0,"Nagar, Anurag","Li, Yufei",,,,
CS,6378.0,001,,16.0,9.0,11.0,16.0,7.0,2.0,4.0,,,,,1.0,,,,,3,"Prakash, Ravi","Miao, Miao",,,,
CS,6380.0,001,,21.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,1,"Venkatesan, Subbarayan","Miao, Miao",,,,
CS,6382.0,001,,13.0,,,,,,,,,,,,,,,,0,"Erbatur, Serdar",,,,,
CS,6384.0,001,,39.0,10.0,4.0,2.0,,1.0,,,,,,,,,,,2,"Maung, Crystal","Song, Zihe",,,,
CS,6384.0,002,,38.0,3.0,1.0,1.0,,,,,,,,,,,,,0,"Xiang, Yu","Wang, Jikai",,,,
CS,6385.0,0W1,,27.0,1.0,42.0,,,,,,,,,,,,,,0,"Farago, Andras","Hatfield, Cody R",,,,
CS,6390.0,001,,6.0,2.0,6.0,12.0,1.0,,,,,,,,,,,,0,"Cobb, Jorge","Sengupta, Sthitadhi",,,,
CS,6396.0,001,,12.0,,,,2.0,,1.0,,,,,,,,,,0,"Liu, Cong",,,,,
