Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CS,6371.0,1,,1.0,3.0,3.0,5.0,3.0,1.0,,,,,,2.0,,,,,2,"Hamlen, Kevin W",,,,,
CS,6374.0,1,,29.0,,10.0,3.0,2.0,,,,,,,,,,,,1,"Gupta, Gopal","Shah, Rutvij D",,,,
CS,6375.0,2,,17.0,19.0,44.0,26.0,1.0,1.0,,,,,,,,,,12.0,0,"Natarajan, Sriraam","Prabhakar, Nikhilesh",,,,
CS,6375.0,4,,13.0,4.0,3.0,2.0,5.0,,2.0,,,,,2.0,,,,,1,"Gogate, Vibhav G","Dakshit, Sagnik",,,,
CS,6375.0,3,,7.0,12.0,8.0,4.0,1.0,,,,,,,1.0,,,,,1,"Iyer, Rishabh K","Jiang, Kai",,,,
CS,6375.0,6,,13.0,4.0,10.0,12.0,4.0,1.0,2.0,,,,,1.0,,,,,1,"Schweitzer, Haim","Dasgupta, Sopam",,,,
CS,6378.0,1,,15.0,14.0,9.0,15.0,1.0,2.0,,,,,,1.0,,,,,1,"Prakash, Ravi","Miao, Miao",,,,
CS,6380.0,1,,17.0,11.0,8.0,9.0,4.0,,1.0,,,,,1.0,,,,,2,"Mittal, Neeraj","Miao, Miao","Deniz, Omer Faruk",,,
CS,6384.0,2,,51.0,7.0,1.0,1.0,,,,,,,,,,,,,0,"Xiang, Yu",Jishnu J,,,,
CS,6384.0,1,,95.0,4.0,,,,,,,,,,,,,,,1,"Tian, Yapeng","Deng, Shijian",,,,
CS,6385.0,0W1,,69.0,3.0,2.0,1.0,1.0,,2.0,,,,,,,,,,0,"Farago, Andras","Garg, Priyanshi",,,,
CS,6396.0,1,,4.0,2.0,6.0,8.0,2.0,,,,,,,,,,,,0,"Bastani, Farokh B","Hatfield, Cody R",,,,
